id,time(utc timestamp),amount(USD),price,side
0,1617354005295000,10000,60854.0,buy
1,1617354105667000,2000.0,60855.0,buy
2,1617354105667000,8000.0,60855.5,buy
3,1617354131273000,10000,60821.0,buy
4,1617354193113000,10000,60820.0,buy
5,1617354241988000,10000,60828.0,buy
6,1617354301097000,10000,60843.0,buy
7,1617354373192000,10000,60782.5,buy
8,1617354422217000,10000,60822.5,buy
9,1617354482485000,10000,60835.5,buy
10,1617354547478000,10000,60835.5,buy
11,1617354612145000,10000,60850.5,buy
12,1617354663479000,10000,60902.0,buy
13,1617354753267000,10000,60851.0,buy
14,1617354785984000,10000,60825.5,buy
15,1617354848072000,10000,60789.5,buy
16,1617354900899000,10000,60727.5,buy
17,1617354994368000,10000,60807.0,buy
18,1617355035671000,10000,60788.0,buy
19,1617355080789000,10000,60755.0,buy
20,1617355143782000,10000,60770.5,buy
21,1617355203698000,10000,60731.0,buy
22,1617355260975000,10000,60645.0,buy
23,1617355328583000,10000,60725.5,buy
24,1617355414829000,10000,60726.5,buy
25,1617355452904000,10000,60771.5,buy
26,1617355535585000,10000,60826.5,buy
27,1617355564451000,10000,60826.5,buy
28,1617355621343000,10000,60793.0,buy
29,1617355694596000,10000,60829.5,buy
30,1617355785640000,2500.0,60833.5,buy
31,1617355785640000,7500.0,60834.0,buy
32,1617355812159000,10000,60839.0,buy
33,1617355865790000,10000,60805.0,buy
34,1617355945799000,10000,60851.5,buy
35,1617355990886000,10000,60865.0,buy
36,1617356087656000,200.0,60879.5,buy
37,1617356087656000,9800.0,60880.0,buy
38,1617356146176000,2000.0,60928.0,buy
39,1617356146176000,8000.0,60928.5,buy
40,1617356206616000,2260.0,60931.0,buy
41,1617356206616000,7740.0,60931.5,buy
42,1617356230446000,10000,60927.5,buy
43,1617356325435000,110.0,60928.5,buy
44,1617356325435000,9890.0,60929.0,buy
45,1617356385438000,110.0,60928.5,buy
46,1617356385438000,9890.0,60944.0,buy
47,1617356443794000,10000,60976.0,buy
48,1617356470069000,10000,60972.5,buy
49,1617356523394000,10000,60969.5,buy
50,1617356587137000,10000,60970.5,buy
51,1617356660886000,10000,60964.5,buy
52,1617356723825000,10000,60978.5,buy
53,1617356760517000,10000,60960.0,buy
54,1617356823992000,10000,60978.0,buy
55,1617356880721000,10000,61055.5,buy
56,1617356940603000,10000,61023.0,buy
57,1617357002276000,10000,61039.5,buy
58,1617357061689000,10000,61039.5,buy
59,1617357122111000,10000,61039.5,buy
60,1617357180942000,10000,60993.5,buy
61,1617357241950000,10000,61019.5,buy
62,1617357302561000,10000,61015.0,buy
63,1617357361310000,10000,60989.0,buy
64,1617357421353000,10000,61020.0,buy
65,1617357481632000,10000,61015.5,buy
66,1617357568253000,10000,61000.5,buy
