id,time(utc timestamp),amount(USD),price,side
0,1617354318793000,205700.0,60744.0,buy
1,1617354318793000,100000.0,60761.5,buy
2,1617354318793000,2000.0,60771.5,buy
3,1617354318793000,6000.0,60777.5,buy
4,1617354318793000,2170.0,60783.5,buy
5,1617354318793000,308550.0,60792.5,buy
6,1617354318793000,1940.0,60809.5,buy
7,1617354318793000,8000.0,60814.0,buy
8,1617354318793000,2830.0,60838.0,buy
9,1617354318793000,362810.0,60840.5,buy
10,1617354851323000,1440.0,60773.5,buy
11,1617354851323000,215870.0,60774.0,buy
12,1617354851323000,2360.0,60801.5,buy
13,1617354851323000,2000.0,60814.0,buy
14,1617354851323000,100000.0,60816.5,buy
15,1617354851323000,305640.0,60817.0,buy
16,1617354851323000,6000.0,60823.5,buy
17,1617354851323000,2560.0,60828.0,buy
18,1617354851323000,8000.0,60855.5,buy
19,1617354851323000,356130.0,60859.5,buy
20,1617354904996000,100500.0,60772.5,buy
21,1617354904996000,2000.0,60774.5,buy
22,1617354904996000,6000.0,60777.5,buy
23,1617354904996000,215740.0,60800.5,buy
24,1617354904996000,1860.0,60801.5,buy
25,1617354904996000,8000.0,60806.5,buy
26,1617354904996000,2560.0,60828.0,buy
27,1617354904996000,323620.0,60854.0,buy
28,1617354904996000,16000.0,60893.5,buy
29,1617354904996000,323720.0,60907.0,buy
30,1617355016280000,500.0,60847.0,buy
31,1617355016280000,207880.0,60851.5,buy
32,1617355016280000,2000.0,60852.5,buy
33,1617355016280000,100000.0,60858.5,buy
34,1617355016280000,6000.0,60862.5,buy
35,1617355016280000,8000.0,60887.5,buy
36,1617355016280000,311820.0,60904.5,buy
37,1617355016280000,16000.0,60938.0,buy
38,1617355016280000,347800.0,60958.0,buy
39,1617355029390000,4620.0,60804.5,buy
40,1617355029390000,6000.0,60809.5,buy
41,1617355029390000,214080.0,60812.0,buy
42,1617355029390000,100000.0,60828.0,buy
43,1617355029390000,2260.0,60833.5,buy
44,1617355029390000,8000.0,60851.5,buy
45,1617355029390000,1960.0,60859.0,buy
46,1617355029390000,320370.0,60862.5,buy
47,1617355029390000,7080.0,60912.0,buy
48,1617355029390000,335630.0,60912.5,buy
49,1617355274865000,100000.0,60676.5,buy
50,1617355274865000,198940.0,60719.5,buy
51,1617355274865000,6000.0,60723.0,buy
52,1617355274865000,2000.0,60725.5,buy
53,1617355274865000,2030.0,60734.0,buy
54,1617355274865000,8000.0,60763.5,buy
55,1617355274865000,298400.0,60786.5,buy
56,1617355274865000,16000.0,60842.0,buy
57,1617355274865000,30000.0,60848.5,buy
58,1617355274865000,338630.0,60853.5,buy
59,1617355323773000,2500.0,60743.0,buy
60,1617355323773000,214800.0,60748.0,buy
61,1617355323773000,6000.0,60754.5,buy
62,1617355323773000,100000.0,60760.0,buy
63,1617355323773000,8000.0,60784.5,buy
64,1617355323773000,322200.0,60817.0,buy
65,1617355323773000,1810.0,60853.5,buy
66,1617355323773000,16000.0,60854.0,buy
67,1617355323773000,5270.0,60885.0,buy
68,1617355323773000,323420.0,60885.5,buy
69,1617355382699000,2500.0,60738.5,buy
70,1617355382699000,100000.0,60747.0,buy
71,1617355382699000,6000.0,60752.0,buy
72,1617355382699000,2060.0,60757.0,buy
73,1617355382699000,202220.0,60767.0,buy
74,1617355382699000,8000.0,60792.5,buy
75,1617355382699000,303320.0,60825.5,buy
76,1617355382699000,16000.0,60845.0,buy
77,1617355382699000,1810.0,60853.5,buy
78,1617355382699000,358090.0,60883.5,buy
79,1617355758989000,500.0,60820.5,buy
80,1617355758989000,2000.0,60846.0,buy
81,1617355758989000,204030.0,60849.5,buy
82,1617355758989000,106000.0,60863.0,buy
83,1617355758989000,1810.0,60874.0,buy
84,1617355758989000,8000.0,60889.0,buy
85,1617355758989000,306050.0,60891.5,buy
86,1617355758989000,362720.0,60933.0,buy
87,1617355758989000,5270.0,60945.5,buy
88,1617355758989000,3620.0,60946.0,buy
89,1617355800778000,2500.0,60833.5,buy
90,1617355800778000,204030.0,60849.5,buy
91,1617355800778000,6000.0,60850.5,buy
92,1617355800778000,100000.0,60856.0,buy
93,1617355800778000,1960.0,60858.0,buy
94,1617355800778000,8000.0,60870.5,buy
95,1617355800778000,306050.0,60891.5,buy
96,1617355800778000,7080.0,60932.5,buy
97,1617355800778000,362720.0,60933.0,buy
98,1617355800778000,1660.0,60946.0,buy
99,1617355945819000,2000.0,60880.5,buy
100,1617355945819000,210820.0,60887.5,buy
101,1617355945819000,6000.0,60889.5,buy
102,1617355945819000,8000.0,60912.0,buy
103,1617355945819000,100000.0,60928.5,buy
104,1617355945819000,1810.0,60936.0,buy
105,1617355945819000,316230.0,60944.5,buy
106,1617355945819000,5270.0,60961.0,buy
107,1617355945819000,16000.0,60961.5,buy
108,1617355945819000,333870.0,61001.0,buy
109,1617356157382000,2000.0,60928.0,buy
110,1617356157382000,6000.0,60934.0,buy
111,1617356157382000,8000.0,60961.0,buy
112,1617356157382000,2480.0,60968.0,buy
113,1617356157382000,205810.0,60983.5,buy
114,1617356157382000,100000.0,61007.5,buy
115,1617356157382000,308710.0,61028.5,buy
116,1617356157382000,1810.0,61042.5,buy
117,1617356157382000,16000.0,61043.0,buy
118,1617356157382000,349190.0,61074.0,buy
119,1617356379727000,110.0,60928.5,buy
120,1617356379727000,162650.0,60944.0,buy
121,1617356379727000,2000.0,60974.5,buy
122,1617356379727000,243970.0,60978.0,buy
123,1617356379727000,6000.0,60982.0,buy
124,1617356379727000,2080.0,60988.5,buy
125,1617356379727000,8000.0,61007.5,buy
